,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales,Average_Sales_Game,Sales_Per_Platform,Average_Sales_Per_Year,SK_Game
0,1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,82.74000000000001,1.0000000000000002,2.6690322580645165,2.1215384615384614,0
1,2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,40.24,1.0,1.2980645161290323,1.031794871794872,1
2,3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,35.830000000000005,1.000279173646008,1.1558064516129034,0.9184615384615384,2
3,4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,33.0,1.0,1.064516129032258,0.8461538461538461,3
4,5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,31.380000000000003,1.000318775900542,1.0122580645161292,0.8043589743589744,4
5,6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,30.259999999999998,0.9999999999999999,0.9761290322580645,0.775897435897436,5
6,7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,30.009999999999998,0.9999999999999999,0.9680645161290322,0.7694871794871795,6
7,8,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,29.009999999999998,0.9996554100620262,0.9358064516129032,0.7441025641025641,7
8,9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,28.61,0.9996505939902166,0.9229032258064516,0.7338461538461539,8
9,10,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,28.31,1.0,0.9132258064516129,0.7258974358974358,9
10,11,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,24.75,0.9995961227786753,0.7983870967741935,0.6348717948717949,10
11,12,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,23.43,1.0004269854824934,0.7558064516129032,0.6005128205128205,11
12,13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,23.09,0.9995670995670995,0.7448387096774194,0.5923076923076923,12
